#NO_PRODUCTS, NO_STORES
18.84,0.0,0.0,16.95,24.43,20.17,25.43,24.24,21.66,22.19,0.0,0.0,0.0,21.18,0.0,0.0,0.0,0.0,23.13,0.0,0.0,0.0,24.21,0.0,21.32,0.0,0.0,0.0,0.0,21.2,0.0,0.0,0.0,0.0,25.31,0.0,0.0,0.0,23.61,22.14,24.01,20.86,0.0,19.84,25.7,0.0,0.0,0.0,0.0,0.0,
0.0,24.12,22.13,0.0,24.64,0.0,21.46,0.0,19.91,0.0,0.0,26.63,24.23,23.52,20.03,22.43,26.39,26.06,25.84,22.82,23.58,22.04,22.3,24.59,22.6,0.0,0.0,21.01,0.0,20.26,22.22,23.7,0.0,0.0,24.55,22.22,18.84,27.54,24.71,20.54,21.99,20.42,20.58,0.0,24.16,28.57,0.0,22.85,0.0,21.51,
0.0,0.0,19.32,25.87,22.13,0.0,0.0,23.21,21.74,18.52,20.95,0.0,0.0,0.0,24.28,20.69,19.85,18.58,0.0,25.65,24.34,0.0,0.0,23.87,0.0,26.81,0.0,0.0,26.75,0.0,24.81,0.0,0.0,24.44,24.42,22.25,25.09,22.0,0.0,25.23,23.53,24.37,0.0,23.76,17.88,0.0,0.0,0.0,0.0,0.0,
19.62,20.85,0.0,23.28,22.7,21.25,0.0,0.0,23.2,0.0,25.61,19.28,0.0,0.0,0.0,0.0,0.0,0.0,19.53,0.0,0.0,25.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.25,22.31,23.32,0.0,0.0,0.0,22.83,20.26,0.0,21.95,22.48,0.0,0.0,24.4,25.24,23.44,0.0,19.56,21.55,0.0,20.75,
20.84,0.0,20.94,0.0,23.2,0.0,16.83,23.95,0.0,23.69,22.59,25.36,0.0,23.8,0.0,25.2,22.03,24.43,0.0,0.0,0.0,19.26,21.33,0.0,24.21,0.0,0.0,0.0,0.0,0.0,0.0,21.07,0.0,0.0,27.28,21.39,0.0,0.0,21.17,0.0,26.12,0.0,0.0,0.0,0.0,20.49,19.01,27.4,21.68,22.87,
0.0,0.0,0.0,0.0,0.0,23.2,0.0,23.42,17.1,21.05,0.0,22.74,0.0,0.0,23.16,0.0,21.63,0.0,0.0,21.09,0.0,23.67,0.0,18.11,0.0,0.0,23.79,0.0,22.68,0.0,22.57,18.17,18.67,0.0,19.8,27.21,23.1,23.83,0.0,20.23,21.27,0.0,20.07,0.0,22.49,22.17,0.0,0.0,0.0,26.34,
22.6,21.77,0.0,0.0,0.0,20.27,24.53,0.0,21.1,0.0,0.0,25.5,26.03,0.0,0.0,0.0,23.87,0.0,22.02,21.98,20.56,0.0,24.0,19.48,0.0,21.54,18.95,0.0,0.0,0.0,0.0,19.2,23.18,20.95,0.0,25.04,0.0,0.0,0.0,25.5,0.0,0.0,26.89,0.0,21.44,22.74,0.0,0.0,18.1,20.55,
26.3,24.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.13,0.0,0.0,0.0,0.0,23.78,0.0,25.54,0.0,19.51,0.0,24.93,0.0,0.0,25.15,23.56,21.49,0.0,0.0,0.0,22.64,22.85,23.71,24.84,0.0,21.75,0.0,24.45,0.0,21.54,0.0,0.0,0.0,0.0,22.16,0.0,0.0,0.0,0.0,0.0,
0.0,18.26,18.1,22.42,27.43,23.26,21.66,0.0,20.37,28.33,0.0,0.0,21.39,0.0,0.0,0.0,23.99,24.33,24.28,0.0,19.11,21.36,23.18,0.0,0.0,24.67,0.0,19.3,0.0,0.0,25.03,0.0,24.76,21.5,0.0,0.0,0.0,0.0,0.0,26.2,0.0,20.21,24.34,0.0,23.58,0.0,0.0,0.0,0.0,0.0,
0.0,24.89,0.0,0.0,0.0,20.13,0.0,0.0,24.64,23.81,24.72,0.0,0.0,24.73,25.26,21.27,23.31,21.41,20.73,25.86,0.0,19.3,19.51,22.16,19.87,0.0,0.0,0.0,0.0,21.52,0.0,0.0,0.0,0.0,22.48,28.0,21.47,18.57,24.99,18.85,0.0,0.0,20.5,0.0,25.76,24.4,0.0,0.0,22.17,15.12,
0.0,0.0,22.73,23.08,0.0,19.15,0.0,22.52,19.66,20.59,0.0,19.82,23.23,21.33,0.0,0.0,21.13,0.0,0.0,26.04,21.99,0.0,0.0,24.31,21.31,0.0,0.0,0.0,23.11,22.21,0.0,21.77,22.96,0.0,0.0,21.8,0.0,0.0,0.0,23.64,27.19,0.0,25.79,19.59,0.0,22.56,0.0,23.04,23.58,21.81,
0.0,26.54,0.0,22.66,0.0,0.0,20.63,24.52,0.0,0.0,21.09,0.0,0.0,0.0,0.0,26.47,21.97,24.57,20.39,24.73,0.0,23.31,23.98,0.0,23.18,20.68,0.0,0.0,22.38,0.0,0.0,0.0,25.16,26.09,27.79,23.24,0.0,0.0,0.0,0.0,0.0,0.0,21.31,0.0,0.0,0.0,22.85,25.43,0.0,0.0,
19.87,21.97,24.72,25.4,26.19,0.0,20.09,23.23,20.36,23.05,22.21,22.44,26.71,0.0,0.0,0.0,0.0,22.3,0.0,24.1,0.0,28.43,23.19,0.0,19.35,25.79,22.5,0.0,23.07,0.0,22.17,0.0,0.0,22.91,0.0,20.47,0.0,0.0,20.66,0.0,0.0,26.84,0.0,24.22,19.95,21.45,0.0,0.0,21.35,25.38,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.45,22.37,23.15,26.86,0.0,0.0,0.0,0.0,0.0,0.0,24.31,0.0,0.0,0.0,19.23,0.0,21.3,22.87,22.64,0.0,0.0,0.0,0.0,22.95,0.0,24.3,0.0,23.63,24.19,25.63,23.97,25.45,0.0,19.22,0.0,21.65,0.0,0.0,0.0,0.0,0.0,25.21,0.0,
0.0,21.57,0.0,0.0,21.77,19.35,0.0,0.0,20.87,23.15,0.0,20.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.25,0.0,0.0,23.36,20.13,0.0,0.0,23.64,0.0,0.0,18.98,19.82,0.0,19.14,27.05,24.77,0.0,0.0,0.0,24.51,22.15,0.0,25.03,0.0,22.01,0.0,22.01,27.39,0.0,0.0,
0.0,0.0,18.85,0.0,0.0,20.66,23.62,0.0,24.37,0.0,20.37,22.41,0.0,25.14,0.0,19.89,16.96,0.0,25.78,20.75,0.0,0.0,0.0,21.61,0.0,22.14,0.0,19.12,21.23,20.46,20.97,0.0,23.67,0.0,0.0,25.43,26.94,0.0,22.7,0.0,21.7,0.0,22.88,0.0,0.0,24.59,22.08,20.69,0.0,22.15,
26.19,0.0,19.51,0.0,0.0,0.0,0.0,0.0,21.57,21.37,0.0,0.0,20.84,0.0,21.75,24.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.27,19.86,24.93,0.0,0.0,20.93,17.56,0.0,21.08,22.95,23.62,0.0,18.68,0.0,0.0,25.81,0.0,0.0,23.52,0.0,17.63,22.55,0.0,0.0,25.9,0.0,
0.0,0.0,0.0,18.8,0.0,24.37,0.0,0.0,0.0,0.0,27.24,0.0,0.0,23.92,0.0,0.0,22.07,0.0,23.23,23.28,22.55,25.96,22.31,0.0,0.0,0.0,28.23,24.68,0.0,0.0,23.24,0.0,23.46,0.0,22.25,20.62,0.0,21.78,0.0,22.51,0.0,0.0,0.0,0.0,23.24,22.1,23.19,17.82,0.0,23.79,
0.0,24.93,24.28,28.97,0.0,20.65,23.24,0.0,0.0,0.0,23.61,0.0,21.95,0.0,0.0,0.0,0.0,21.81,0.0,24.08,22.12,0.0,0.0,24.22,0.0,0.0,19.61,20.3,0.0,0.0,0.0,0.0,0.0,21.67,24.58,0.0,0.0,0.0,0.0,24.06,0.0,0.0,23.69,26.53,0.0,0.0,25.02,20.98,21.52,23.33,
0.0,0.0,0.0,0.0,0.0,0.0,19.35,0.0,0.0,0.0,25.03,20.17,17.01,0.0,0.0,20.13,0.0,20.05,20.35,0.0,0.0,22.37,0.0,23.82,21.86,0.0,21.77,0.0,26.23,0.0,0.0,25.83,0.0,0.0,0.0,21.07,23.57,21.79,0.0,0.0,0.0,0.0,0.0,21.82,24.21,0.0,22.3,24.27,0.0,0.0,
0.0,0.0,24.64,22.64,23.46,23.13,0.0,24.4,0.0,24.8,20.7,0.0,16.66,0.0,22.5,0.0,0.0,0.0,18.46,0.0,0.0,0.0,0.0,22.0,23.21,22.12,0.0,19.32,24.61,0.0,0.0,22.19,0.0,19.48,18.54,21.84,20.31,24.87,22.19,20.97,26.56,0.0,0.0,0.0,24.72,20.08,24.74,21.86,0.0,19.1,
0.0,0.0,26.74,22.27,22.94,20.96,0.0,23.02,20.48,22.69,0.0,25.74,19.62,0.0,0.0,21.09,25.23,0.0,0.0,0.0,0.0,25.34,0.0,19.63,20.2,0.0,0.0,21.23,0.0,0.0,0.0,22.99,24.83,0.0,22.25,0.0,0.0,20.09,0.0,20.34,22.94,0.0,17.77,18.62,0.0,0.0,0.0,18.75,0.0,24.79,
30.01,19.81,22.83,0.0,23.62,22.78,21.26,0.0,20.93,0.0,0.0,26.22,22.24,24.37,0.0,27.06,22.93,21.91,22.55,24.23,0.0,0.0,0.0,0.0,0.0,24.53,25.9,0.0,0.0,0.0,23.64,23.32,20.22,0.0,24.37,0.0,26.29,0.0,21.39,0.0,16.76,21.75,22.94,0.0,0.0,20.94,19.37,19.8,22.22,0.0,
0.0,24.34,0.0,0.0,21.17,0.0,22.94,19.26,0.0,19.01,18.94,22.17,0.0,24.46,0.0,20.35,24.38,22.31,22.64,0.0,0.0,0.0,19.36,25.08,18.35,0.0,0.0,0.0,0.0,0.0,0.0,22.47,0.0,0.0,0.0,23.45,0.0,20.69,25.04,19.08,24.15,0.0,21.84,16.7,19.77,24.23,0.0,0.0,0.0,25.74,
23.8,26.4,22.39,26.43,0.0,0.0,0.0,21.3,0.0,22.65,0.0,24.39,20.32,0.0,23.07,20.89,26.44,0.0,23.72,21.6,0.0,24.01,0.0,19.84,21.52,24.57,0.0,0.0,0.0,0.0,0.0,19.93,22.0,0.0,19.65,26.07,21.39,0.0,0.0,22.18,21.01,0.0,22.78,0.0,26.51,0.0,0.0,0.0,18.11,0.0,
0.0,0.0,0.0,0.0,0.0,24.75,21.41,19.7,20.16,0.0,21.03,0.0,0.0,0.0,27.65,23.21,0.0,23.17,0.0,0.0,0.0,20.8,0.0,24.67,25.46,19.02,0.0,23.53,22.84,0.0,23.02,0.0,20.15,0.0,23.08,0.0,20.33,19.7,0.0,0.0,0.0,0.0,22.93,24.41,25.89,24.89,0.0,25.38,20.15,22.55,
0.0,0.0,23.27,0.0,0.0,25.98,19.01,19.21,0.0,0.0,23.08,0.0,21.04,20.55,21.26,0.0,0.0,0.0,26.6,23.44,0.0,22.63,0.0,0.0,24.2,0.0,0.0,22.36,0.0,25.24,0.0,20.61,23.24,0.0,0.0,24.0,14.75,0.0,0.0,25.18,0.0,25.29,21.32,20.29,23.49,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,22.71,0.0,0.0,24.32,0.0,0.0,0.0,23.58,0.0,19.63,0.0,23.82,0.0,0.0,0.0,22.32,22.21,20.98,22.98,20.91,0.0,0.0,0.0,19.04,24.14,24.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.46,0.0,22.82,22.0,0.0,0.0,0.0,22.28,0.0,0.0,0.0,25.27,0.0,23.05,
21.95,0.0,0.0,24.68,21.93,0.0,0.0,22.12,21.8,27.37,20.76,22.21,23.73,0.0,20.68,23.29,18.29,25.11,21.88,23.68,0.0,0.0,0.0,0.0,25.9,23.74,0.0,25.12,21.71,0.0,0.0,0.0,24.46,25.7,0.0,0.0,0.0,19.69,25.97,24.37,20.31,20.49,19.03,0.0,17.72,0.0,25.8,26.0,26.36,0.0,
22.51,0.0,0.0,22.31,0.0,21.83,24.34,23.27,0.0,23.11,0.0,0.0,23.55,20.54,0.0,27.08,25.07,0.0,0.0,0.0,20.04,0.0,20.83,0.0,0.0,0.0,0.0,21.21,0.0,0.0,0.0,24.44,0.0,21.9,22.5,0.0,0.0,0.0,21.19,22.75,23.56,0.0,0.0,0.0,0.0,22.82,0.0,20.97,26.63,0.0,
22.74,0.0,19.6,20.07,23.68,22.67,0.0,0.0,26.44,24.28,22.31,0.0,0.0,0.0,0.0,19.85,22.5,0.0,0.0,0.0,25.63,0.0,23.33,0.0,21.61,0.0,27.41,0.0,21.02,0.0,22.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.22,24.97,0.0,0.0,22.38,22.16,0.0,23.13,22.04,
0.0,19.94,19.81,0.0,0.0,0.0,21.84,0.0,23.56,25.12,21.91,23.96,0.0,0.0,24.44,0.0,0.0,21.97,22.53,0.0,0.0,22.54,0.0,0.0,18.49,26.07,25.82,20.71,16.87,26.39,0.0,0.0,0.0,0.0,0.0,0.0,19.58,19.17,23.43,23.62,26.53,0.0,0.0,0.0,22.47,0.0,23.28,23.14,21.74,21.8,
0.0,27.58,0.0,0.0,0.0,20.63,22.11,27.94,22.23,0.0,20.94,21.51,0.0,23.46,23.07,24.36,0.0,0.0,0.0,21.97,0.0,25.04,19.95,0.0,23.48,0.0,19.62,25.11,22.32,22.77,0.0,20.94,21.73,27.78,23.7,0.0,21.28,21.84,0.0,0.0,0.0,20.99,0.0,0.0,22.03,21.58,21.71,21.83,21.76,0.0,
21.63,26.45,23.13,0.0,22.44,23.35,22.38,0.0,0.0,24.59,24.16,22.5,0.0,0.0,0.0,25.63,22.98,0.0,0.0,0.0,0.0,0.0,24.72,0.0,24.11,0.0,21.97,0.0,23.51,0.0,0.0,23.82,0.0,0.0,23.74,0.0,22.44,17.22,22.11,0.0,0.0,0.0,21.94,25.01,0.0,21.85,26.15,23.39,0.0,19.47,
0.0,23.63,20.9,0.0,0.0,0.0,24.57,21.09,0.0,0.0,0.0,26.56,20.18,20.99,22.82,0.0,0.0,20.2,0.0,20.28,0.0,0.0,0.0,21.99,0.0,0.0,19.57,22.61,0.0,0.0,23.88,20.72,21.48,0.0,0.0,0.0,0.0,19.93,0.0,0.0,0.0,21.73,24.86,0.0,22.31,19.05,24.1,24.54,0.0,0.0,
0.0,22.17,27.16,20.35,18.95,0.0,24.05,20.24,16.75,0.0,0.0,0.0,25.76,23.23,22.81,18.88,0.0,22.1,0.0,0.0,0.0,22.92,0.0,0.0,0.0,0.0,22.08,23.95,20.65,0.0,26.52,0.0,0.0,25.38,0.0,22.69,0.0,0.0,0.0,0.0,20.81,22.58,0.0,0.0,0.0,0.0,0.0,24.75,0.0,0.0,
20.34,0.0,22.51,0.0,0.0,18.24,0.0,0.0,0.0,0.0,0.0,19.81,24.84,21.42,24.66,24.83,0.0,21.09,0.0,22.27,23.94,18.98,0.0,0.0,0.0,0.0,0.0,24.99,0.0,0.0,24.8,22.92,21.13,0.0,21.66,20.45,0.0,24.51,0.0,0.0,21.4,22.11,0.0,20.45,0.0,0.0,0.0,0.0,0.0,24.62,
0.0,0.0,21.47,20.48,19.97,0.0,26.82,24.61,21.76,0.0,22.49,22.82,0.0,24.45,0.0,23.22,0.0,24.62,0.0,24.27,22.72,0.0,0.0,0.0,0.0,0.0,22.24,0.0,22.56,0.0,19.11,19.72,0.0,26.39,0.0,0.0,21.8,23.27,26.51,21.46,19.38,22.28,0.0,18.85,0.0,22.11,23.82,23.67,0.0,0.0,
0.0,0.0,0.0,22.6,26.11,22.4,0.0,0.0,28.16,0.0,19.09,0.0,22.5,0.0,24.49,24.66,0.0,21.1,22.98,19.4,22.57,22.11,0.0,0.0,0.0,23.16,0.0,20.37,0.0,18.9,0.0,21.82,19.44,23.71,0.0,0.0,20.42,24.83,0.0,0.0,0.0,20.4,24.1,0.0,0.0,0.0,25.58,0.0,0.0,26.23,
17.85,0.0,20.87,0.0,0.0,24.03,0.0,24.94,0.0,27.18,24.17,0.0,0.0,0.0,23.84,0.0,0.0,0.0,0.0,0.0,0.0,23.32,26.23,22.63,24.43,20.6,0.0,21.07,0.0,0.0,0.0,19.82,21.32,23.31,0.0,20.96,24.76,22.43,0.0,0.0,24.2,18.73,21.55,21.37,0.0,0.0,21.71,23.67,24.6,25.24,
0.0,0.0,0.0,0.0,18.85,22.39,21.98,22.83,0.0,20.7,0.0,0.0,0.0,19.47,24.14,22.36,21.89,0.0,0.0,23.42,0.0,22.83,21.85,20.58,0.0,25.21,0.0,0.0,0.0,0.0,24.51,21.42,25.36,25.3,18.73,23.4,21.24,0.0,20.22,19.81,17.49,23.25,0.0,0.0,0.0,0.0,22.27,0.0,23.11,0.0,
18.15,0.0,0.0,21.61,18.97,24.01,0.0,19.52,22.99,22.07,0.0,0.0,0.0,17.24,0.0,22.86,0.0,0.0,0.0,0.0,24.36,0.0,22.53,0.0,24.42,21.73,0.0,24.47,0.0,22.37,17.5,21.15,24.17,0.0,0.0,0.0,0.0,22.56,21.26,21.77,20.36,0.0,0.0,0.0,0.0,0.0,24.62,22.41,23.09,0.0,
0.0,0.0,21.05,21.92,0.0,24.26,22.44,23.19,24.15,20.99,23.32,0.0,21.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.21,0.0,0.0,19.63,0.0,0.0,0.0,20.76,22.86,0.0,21.62,18.5,0.0,18.28,20.42,0.0,20.85,0.0,0.0,0.0,0.0,0.0,24.12,22.9,0.0,0.0,0.0,0.0,
19.88,0.0,17.92,0.0,22.81,23.97,0.0,0.0,22.48,22.92,0.0,22.98,0.0,23.85,25.41,20.39,20.85,0.0,0.0,21.45,23.18,0.0,16.57,0.0,24.78,0.0,0.0,22.71,27.47,19.74,20.59,24.2,0.0,25.14,0.0,0.0,22.64,20.41,18.84,0.0,0.0,0.0,21.63,0.0,0.0,0.0,22.29,0.0,0.0,0.0,
0.0,0.0,21.87,0.0,0.0,19.11,25.15,0.0,0.0,24.7,0.0,20.06,0.0,0.0,0.0,0.0,25.67,25.87,22.22,0.0,23.64,0.0,0.0,25.06,22.65,0.0,0.0,0.0,0.0,0.0,23.97,26.01,0.0,15.04,27.38,17.43,21.55,0.0,0.0,24.24,0.0,22.34,0.0,0.0,0.0,0.0,20.16,21.22,0.0,0.0,
0.0,22.49,22.81,22.59,0.0,20.57,0.0,21.19,0.0,20.54,0.0,22.53,20.71,26.34,0.0,0.0,21.39,0.0,22.09,0.0,24.37,22.9,0.0,0.0,19.75,20.78,24.53,0.0,24.51,0.0,0.0,21.98,0.0,21.37,21.05,20.92,0.0,0.0,0.0,24.33,0.0,0.0,23.13,0.0,0.0,20.81,0.0,0.0,22.54,20.02,
21.59,20.42,22.55,24.34,0.0,20.25,20.67,0.0,0.0,22.52,22.18,0.0,24.61,23.8,0.0,0.0,22.07,21.23,23.44,0.0,22.12,21.68,0.0,24.86,0.0,0.0,27.19,0.0,23.57,0.0,22.38,0.0,22.59,26.95,0.0,23.17,0.0,19.76,22.93,0.0,26.44,0.0,23.37,20.64,0.0,22.73,0.0,0.0,0.0,20.96,
24.23,20.37,21.46,0.0,21.92,0.0,22.71,0.0,0.0,0.0,23.88,0.0,19.47,21.09,0.0,21.38,0.0,0.0,0.0,22.71,25.35,0.0,0.0,22.84,0.0,0.0,24.06,0.0,24.42,20.8,0.0,0.0,0.0,25.02,0.0,0.0,23.2,22.51,0.0,0.0,23.38,24.84,0.0,0.0,22.86,26.16,19.72,0.0,0.0,21.06,
0.0,0.0,23.48,22.28,23.81,0.0,22.02,0.0,0.0,23.22,0.0,22.97,0.0,20.76,19.02,0.0,26.58,18.75,27.41,0.0,0.0,0.0,0.0,0.0,23.04,22.51,0.0,23.0,22.35,0.0,0.0,0.0,22.81,0.0,22.71,0.0,0.0,0.0,0.0,21.47,0.0,0.0,0.0,0.0,0.0,23.23,0.0,26.82,0.0,17.84,
24.8,0.0,0.0,0.0,0.0,18.78,27.59,24.73,0.0,21.41,0.0,0.0,0.0,21.51,21.1,22.58,0.0,0.0,18.92,23.31,0.0,0.0,0.0,0.0,24.54,0.0,24.99,18.42,20.54,21.37,0.0,26.98,0.0,21.79,0.0,21.21,24.18,27.6,22.19,0.0,0.0,20.14,23.75,24.61,0.0,25.89,0.0,18.32,0.0,0.0,
20.84,23.76,0.0,0.0,22.92,20.93,24.99,0.0,0.0,22.03,0.0,0.0,22.9,0.0,0.0,0.0,0.0,23.18,24.7,0.0,0.0,19.84,23.12,0.0,0.0,20.15,0.0,20.8,19.61,24.12,0.0,0.0,21.69,22.61,22.11,18.24,0.0,0.0,0.0,21.54,25.21,21.22,0.0,21.1,0.0,0.0,20.68,20.24,21.44,21.6,
24.09,0.0,0.0,23.95,20.42,0.0,24.05,19.76,0.0,0.0,24.36,0.0,0.0,0.0,0.0,23.85,24.02,26.04,0.0,0.0,20.76,0.0,0.0,0.0,0.0,0.0,20.78,0.0,22.82,19.33,0.0,27.83,0.0,0.0,0.0,23.16,0.0,22.72,0.0,23.74,0.0,22.87,0.0,25.82,0.0,0.0,24.07,0.0,20.92,19.29,
19.52,0.0,20.94,0.0,0.0,21.44,22.1,20.38,22.9,0.0,27.33,22.66,0.0,0.0,23.12,23.95,21.93,0.0,24.08,0.0,23.65,0.0,0.0,0.0,24.46,22.73,24.02,0.0,0.0,24.57,0.0,21.31,0.0,27.74,21.82,24.38,0.0,21.99,20.82,0.0,21.65,0.0,21.82,0.0,0.0,25.9,0.0,26.01,0.0,0.0,
0.0,17.79,22.51,25.88,0.0,23.35,22.89,0.0,24.32,0.0,22.41,0.0,0.0,0.0,16.61,21.03,0.0,0.0,0.0,0.0,0.0,25.2,19.75,25.51,21.08,0.0,0.0,17.46,20.6,22.42,0.0,20.86,0.0,20.53,0.0,26.0,0.0,25.97,24.91,0.0,23.45,23.84,23.44,0.0,20.92,0.0,0.0,0.0,0.0,0.0,
21.11,17.78,22.83,0.0,22.2,0.0,0.0,0.0,22.93,0.0,0.0,22.25,20.7,0.0,0.0,25.67,20.82,22.49,20.41,0.0,21.63,0.0,0.0,0.0,24.14,25.39,24.53,21.88,22.25,0.0,22.65,0.0,0.0,0.0,23.94,0.0,0.0,0.0,0.0,17.49,0.0,0.0,20.75,25.1,24.39,0.0,0.0,0.0,0.0,21.5,
