#NO_PRODUCTS, NO_STORES
0.0, 0.0, 0.0, 0.0, 40.83, 0.0, 5.82, 28.18, 0.0, 0.0, 37.41, 0.0, 17.14, 39.04, 0.0, 47.37, 0.0, 0.0, 0.0, 0.0, 47.07, 0.0, 40.27, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 18.37, 0.0, 0.0, 0.0, 0.0, 0.0, 8.63, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.03, 0.0, 0.0, 0.0, 0.0, 
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 38.04, 20.33, 0.0, 35.31, 0.0, 9.39, 0.0, 25.59, 0.0, 0.0, 23.95, 38.05, 0.0, 0.0, 30.54, 0.0, 14.06, 33.6, 0.0, 40.86, 11.14, 17.57, 0.0, 0.0, 0.0, 0.0, 17.83, 0.0, 0.0, 0.0, 0.0, 47.81, 0.0, 0.0, 0.0, 38.17, 6.89, 0.0, 0.0, 0.0, 12.96, 46.11, 0.0, 
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 18.38, 15.08, 0.0, 0.0, 0.0, 0.0, 0.0, 12.99, 0.0, 17.46, 13.0, 0.0, 0.0, 0.0, 0.0, 38.11, 14.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 42.31, 28.09, 0.0, 0.0, 0.0, 47.0, 20.46, 46.18, 0.0, 0.0, 33.66, 0.0, 0.0, 
0.0, 49.98, 11.31, 0.0, 0.0, 0.0, 0.0, 0.0, 49.16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 18.91, 0.0, 0.0, 0.0, 0.0, 12.23, 33.03, 0.0, 0.0, 0.0, 0.0, 0.0, 18.25, 23.65, 0.0, 37.88, 0.0, 49.63, 0.0, 0.0, 47.3, 0.0, 0.0, 0.0, 0.0, 26.68, 28.71, 36.81, 0.0, 0.0, 0.0, 
0.0, 43.81, 0.0, 0.0, 0.0, 0.0, 36.53, 7.33, 27.33, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 38.13, 0.0, 0.0, 42.69, 46.85, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 28.57, 0.0, 0.0, 0.0, 0.0, 38.68, 0.0, 16.16, 17.82, 0.0, 0.0, 15.24, 16.23, 6.98, 
6.36, 14.26, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 30.81, 12.43, 0.0, 0.0, 0.0, 21.02, 0.0, 0.0, 0.0, 49.98, 0.0, 38.72, 19.25, 39.89, 0.0, 0.0, 21.91, 0.0, 0.0, 39.07, 0.0, 0.0, 24.35, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13.59, 0.0, 0.0, 30.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
36.98, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 29.09, 0.0, 0.0, 0.0, 5.17, 44.06, 0.0, 27.64, 0.0, 0.0, 0.0, 0.0, 22.08, 0.0, 0.0, 0.0, 8.91, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16.12, 0.0, 28.96, 15.31, 40.13, 0.0, 0.0, 48.68, 0.0, 36.79, 0.0, 21.81, 34.37, 0.0, 0.0, 0.0, 46.63, 46.51, 0.0, 0.0, 
12.97, 40.64, 15.73, 34.24, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 23.57, 0.0, 31.86, 0.0, 0.0, 0.0, 28.19, 41.19, 0.0, 42.15, 0.0, 0.0, 0.0, 14.44, 0.0, 0.0, 49.54, 0.0, 0.0, 13.31, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 35.42, 28.55, 6.55, 34.89, 0.0, 0.0, 13.77, 0.0, 0.0, 44.4, 0.0, 0.0, 0.0, 
26.21, 0.0, 29.08, 0.0, 32.86, 35.3, 7.59, 0.0, 24.02, 0.0, 47.4, 0.0, 0.0, 0.0, 9.32, 37.04, 0.0, 47.39, 0.0, 0.0, 0.0, 0.0, 42.67, 27.69, 28.97, 0.0, 0.0, 22.48, 0.0, 0.0, 33.89, 28.85, 0.0, 0.0, 0.0, 12.01, 0.0, 0.0, 38.47, 43.95, 0.0, 0.0, 5.66, 0.0, 21.63, 44.5, 0.0, 0.0, 11.8, 0.0, 
0.0, 0.0, 0.0, 0.0, 11.04, 0.0, 0.0, 15.74, 16.71, 0.0, 0.0, 0.0, 38.9, 0.0, 8.05, 12.69, 0.0, 23.23, 14.94, 7.75, 0.0, 8.62, 0.0, 28.0, 17.88, 29.85, 0.0, 29.42, 26.42, 0.0, 0.0, 7.61, 44.76, 0.0, 25.61, 7.97, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 45.95, 0.0, 11.59, 31.44, 0.0, 0.0, 
0.0, 0.0, 0.0, 0.0, 24.01, 19.08, 0.0, 0.0, 0.0, 0.0, 14.59, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 27.97, 38.99, 43.2, 0.0, 15.48, 0.0, 22.56, 9.22, 0.0, 38.79, 0.0, 14.73, 0.0, 0.0, 0.0, 0.0, 39.21, 27.58, 17.96, 0.0, 27.12, 20.51, 11.06, 17.51, 16.23, 0.0, 0.0, 0.0, 9.52, 0.0, 49.1, 25.86, 0.0, 
0.0, 0.0, 29.78, 37.05, 0.0, 0.0, 34.68, 40.05, 0.0, 14.48, 0.0, 27.01, 29.16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 28.11, 40.4, 0.0, 0.0, 0.0, 9.52, 0.0, 18.56, 38.7, 0.0, 12.33, 0.0, 0.0, 49.48, 0.0, 9.51, 0.0, 0.0, 0.0, 15.07, 0.0, 0.0, 0.0, 46.98, 9.33, 0.0, 0.0, 0.0, 7.36, 34.88, 0.0, 
0.0, 5.39, 11.18, 0.0, 0.0, 0.0, 0.0, 25.42, 26.72, 0.0, 32.38, 10.53, 25.39, 29.45, 0.0, 48.17, 12.65, 21.93, 0.0, 0.0, 15.99, 0.0, 0.0, 22.39, 11.33, 0.0, 0.0, 0.0, 11.36, 50.06, 0.0, 36.95, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 27.52, 0.0, 0.0, 9.07, 8.91, 37.95, 7.95, 46.48, 0.0, 8.71, 
32.7, 0.0, 0.0, 39.42, 0.0, 29.71, 0.0, 7.31, 31.12, 34.97, 0.0, 0.0, 0.0, 0.0, 6.59, 44.42, 0.0, 0.0, 0.0, 41.94, 7.53, 0.0, 23.65, 0.0, 0.0, 0.0, 9.24, 0.0, 12.95, 42.78, 0.0, 0.0, 17.92, 0.0, 0.0, 10.81, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 47.62, 11.72, 46.4, 0.0, 0.0, 0.0, 0.0, 29.19, 
0.0, 0.0, 41.62, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.14, 18.02, 0.0, 0.0, 0.0, 44.03, 0.0, 33.04, 0.0, 0.0, 0.0, 0.0, 44.47, 0.0, 0.0, 18.96, 0.0, 49.01, 0.0, 24.7, 0.0, 0.0, 0.0, 17.11, 6.98, 41.54, 21.65, 0.0, 0.0, 32.37, 0.0, 0.0, 0.0, 42.19, 31.99, 0.0, 0.0, 0.0, 0.0, 
0.0, 0.0, 0.0, 25.38, 0.0, 46.17, 47.77, 24.34, 0.0, 0.0, 0.0, 0.0, 8.81, 6.19, 0.0, 23.74, 0.0, 0.0, 0.0, 0.0, 0.0, 24.48, 10.18, 0.0, 44.56, 0.0, 0.0, 31.27, 22.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 19.69, 0.0, 0.0, 43.63, 30.49, 22.97, 34.12, 24.99, 0.0, 6.76, 39.57, 14.35, 0.0, 30.8, 23.57, 
49.21, 23.15, 0.0, 0.0, 30.88, 0.0, 0.0, 23.82, 25.14, 25.45, 0.0, 0.0, 39.32, 9.76, 0.0, 33.79, 0.0, 0.0, 29.05, 0.0, 0.0, 0.0, 0.0, 0.0, 38.17, 5.53, 17.34, 0.0, 14.95, 0.0, 0.0, 48.66, 0.0, 0.0, 0.0, 0.0, 32.8, 0.0, 32.83, 0.0, 36.05, 37.53, 0.0, 0.0, 0.0, 0.0, 0.0, 10.14, 22.03, 0.0, 
0.0, 13.94, 0.0, 0.0, 0.0, 30.89, 0.0, 0.0, 0.0, 26.5, 23.56, 15.83, 0.0, 9.78, 0.0, 5.81, 42.97, 0.0, 29.43, 26.39, 0.0, 0.0, 0.0, 7.7, 0.0, 22.02, 34.0, 0.0, 18.11, 5.67, 0.0, 0.0, 0.0, 0.0, 36.8, 0.0, 0.0, 0.0, 36.29, 0.0, 0.0, 14.59, 37.79, 0.0, 0.0, 34.98, 0.0, 0.0, 0.0, 20.57, 
47.42, 0.0, 0.0, 0.0, 15.22, 0.0, 25.01, 35.65, 47.91, 21.51, 0.0, 0.0, 0.0, 0.0, 15.29, 18.66, 0.0, 0.0, 0.0, 0.0, 38.49, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 21.45, 32.97, 0.0, 0.0, 26.35, 19.44, 0.0, 23.72, 7.53, 0.0, 0.0, 0.0, 0.0, 12.07, 13.08, 0.0, 12.38, 0.0, 0.0, 9.34, 0.0, 7.09, 
40.52, 0.0, 0.0, 0.0, 0.0, 0.0, 45.74, 30.58, 16.39, 48.62, 0.0, 0.0, 0.0, 0.0, 25.76, 12.37, 17.34, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 21.08, 7.3, 18.84, 0.0, 0.0, 0.0, 0.0, 36.81, 43.59, 0.0, 0.0, 35.59, 0.0, 16.34, 0.0, 0.0, 9.94, 0.0, 0.0, 0.0, 0.0, 47.21, 0.0, 0.0, 0.0, 0.0, 0.0, 
6.14, 19.48, 0.0, 0.0, 23.68, 0.0, 42.56, 0.0, 0.0, 45.53, 29.74, 0.0, 0.0, 0.0, 30.9, 20.93, 0.0, 0.0, 14.88, 0.0, 0.0, 0.0, 0.0, 0.0, 39.42, 0.0, 0.0, 39.98, 0.0, 27.26, 17.18, 47.77, 0.0, 31.83, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 35.1, 33.88, 0.0, 0.0, 0.0, 0.0, 0.0, 19.43, 
31.03, 0.0, 0.0, 23.18, 0.0, 11.82, 0.0, 0.0, 17.73, 0.0, 0.0, 41.34, 0.0, 0.0, 21.21, 21.11, 28.34, 19.05, 35.3, 12.49, 0.0, 13.67, 0.0, 0.0, 31.22, 49.97, 0.0, 0.0, 42.85, 30.19, 0.0, 13.79, 0.0, 45.03, 0.0, 36.39, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 47.39, 32.41, 0.0, 0.0, 0.0, 10.11, 0.0, 0.0, 
0.0, 35.71, 46.08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 19.74, 38.84, 22.2, 0.0, 0.0, 29.21, 37.85, 0.0, 9.72, 7.69, 20.05, 20.0, 31.0, 0.0, 20.8, 0.0, 0.0, 43.74, 0.0, 0.0, 49.3, 13.22, 0.0, 0.0, 16.64, 0.0, 0.0, 15.4, 0.0, 37.66, 13.18, 0.0, 14.84, 0.0, 0.0, 14.98, 32.72, 0.0, 0.0, 0.0, 0.0, 
0.0, 49.48, 0.0, 43.77, 22.28, 0.0, 0.0, 0.0, 0.0, 0.0, 12.7, 23.98, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.4, 0.0, 25.84, 0.0, 0.0, 31.46, 0.0, 0.0, 37.18, 19.87, 7.17, 7.72, 0.0, 24.69, 0.0, 0.0, 0.0, 0.0, 21.52, 20.9, 7.73, 0.0, 17.94, 5.34, 18.7, 38.76, 0.0, 15.06, 0.0, 0.0, 
33.36, 37.68, 0.0, 0.0, 0.0, 13.05, 0.0, 31.74, 0.0, 0.0, 0.0, 14.17, 48.12, 0.0, 37.65, 33.53, 6.26, 30.78, 0.0, 0.0, 0.0, 0.0, 28.1, 42.72, 0.0, 0.0, 0.0, 8.11, 0.0, 29.14, 42.48, 0.0, 20.92, 0.0, 21.49, 31.23, 0.0, 0.0, 28.51, 44.7, 44.87, 43.38, 8.78, 13.02, 33.16, 0.0, 0.0, 0.0, 28.62, 0.0, 
43.42, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 44.95, 0.0, 0.0, 0.0, 0.0, 44.02, 40.49, 28.13, 0.0, 0.0, 37.06, 0.0, 13.06, 38.07, 31.09, 27.13, 0.0, 6.0, 0.0, 17.75, 0.0, 0.0, 31.59, 0.0, 0.0, 16.19, 11.31, 0.0, 0.0, 0.0, 43.44, 0.0, 14.34, 0.0, 0.0, 0.0, 40.95, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.0, 0.0, 0.0, 0.0, 0.0, 27.05, 10.16, 9.82, 0.0, 29.96, 0.0, 0.0, 0.0, 15.21, 33.3, 0.0, 48.82, 0.0, 0.0, 12.94, 26.62, 37.42, 0.0, 0.0, 0.0, 0.0, 0.0, 44.38, 0.0, 27.15, 0.0, 41.14, 0.0, 29.96, 17.46, 0.0, 0.0, 35.33, 0.0, 47.5, 0.0, 0.0, 8.75, 39.84, 0.0, 12.11, 0.0, 9.12, 0.0, 0.0, 
0.0, 0.0, 9.26, 0.0, 0.0, 0.0, 33.01, 24.76, 0.0, 0.0, 0.0, 0.0, 0.0, 31.53, 0.0, 0.0, 40.52, 0.0, 0.0, 0.0, 0.0, 29.03, 0.0, 0.0, 9.18, 15.79, 32.49, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 27.44, 16.84, 0.0, 35.39, 23.82, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 15.06, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.0, 0.0, 0.0, 41.89, 38.73, 0.0, 17.31, 0.0, 13.31, 7.65, 0.0, 0.0, 0.0, 43.32, 0.0, 7.55, 0.0, 0.0, 0.0, 0.0, 0.0, 48.54, 0.0, 14.39, 0.0, 39.78, 0.0, 11.9, 12.79, 0.0, 0.0, 0.0, 17.16, 0.0, 0.0, 0.0, 0.0, 0.0, 8.76, 0.0, 0.0, 0.0, 0.0, 10.11, 0.0, 30.35, 0.0, 32.28, 38.97, 0.0, 
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 33.49, 0.0, 0.0, 0.0, 0.0, 5.26, 0.0, 0.0, 27.64, 10.41, 19.52, 0.0, 0.0, 47.24, 0.0, 8.83, 0.0, 0.0, 41.53, 0.0, 0.0, 0.0, 0.0, 0.0, 18.15, 6.26, 0.0, 37.98, 0.0, 19.42, 0.0, 0.0, 0.0, 6.49, 15.51, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14.74, 0.0, 0.0, 
0.0, 0.0, 0.0, 24.06, 9.0, 0.0, 0.0, 29.55, 0.0, 0.0, 0.0, 0.0, 20.42, 0.0, 0.0, 0.0, 0.0, 28.87, 0.0, 43.22, 10.63, 6.59, 37.9, 28.6, 0.0, 0.0, 13.9, 41.47, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 30.95, 0.0, 0.0, 0.0, 0.0, 9.95, 8.42, 0.0, 0.0, 45.93, 0.0, 0.0, 0.0, 0.0, 42.54, 
0.0, 0.0, 0.0, 0.0, 0.0, 30.12, 0.0, 0.0, 0.0, 0.0, 0.0, 31.15, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 26.4, 0.0, 11.87, 14.56, 0.0, 0.0, 24.52, 0.0, 0.0, 0.0, 0.0, 0.0, 16.67, 17.17, 45.41, 10.02, 0.0, 0.0, 40.57, 42.51, 0.0, 16.43, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
9.51, 0.0, 21.26, 0.0, 17.17, 14.64, 0.0, 29.89, 0.0, 20.87, 0.0, 0.0, 11.06, 38.96, 5.2, 0.0, 0.0, 0.0, 11.91, 0.0, 0.0, 43.35, 0.0, 0.0, 0.0, 36.54, 32.27, 0.0, 29.11, 0.0, 0.0, 36.48, 0.0, 45.05, 0.0, 0.0, 7.45, 0.0, 0.0, 0.0, 17.72, 11.28, 11.29, 10.76, 0.0, 0.0, 32.02, 0.0, 48.17, 48.13, 
0.0, 0.0, 0.0, 40.69, 0.0, 0.0, 13.67, 40.76, 0.0, 0.0, 0.0, 0.0, 0.0, 35.59, 0.0, 0.0, 0.0, 13.36, 25.0, 0.0, 28.34, 0.0, 8.06, 0.0, 9.99, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 15.67, 0.0, 0.0, 0.0, 0.0, 39.55, 41.72, 9.51, 0.0, 0.0, 0.0, 0.0, 0.0, 17.47, 28.86, 19.57, 8.17, 0.0, 24.37, 
9.98, 47.5, 0.0, 8.1, 50.08, 0.0, 9.63, 0.0, 46.29, 0.0, 43.29, 0.0, 0.0, 37.28, 31.27, 21.87, 0.0, 0.0, 46.07, 5.8, 43.21, 0.0, 0.0, 0.0, 0.0, 46.28, 0.0, 0.0, 43.78, 7.3, 42.23, 32.8, 0.0, 0.0, 0.0, 0.0, 0.0, 28.27, 0.0, 0.0, 37.07, 0.0, 16.16, 0.0, 13.85, 16.32, 0.0, 15.46, 0.0, 0.0, 
15.71, 0.0, 45.3, 0.0, 36.86, 34.03, 0.0, 0.0, 0.0, 0.0, 0.0, 6.68, 10.07, 0.0, 0.0, 33.22, 0.0, 0.0, 0.0, 0.0, 13.14, 0.0, 0.0, 0.0, 31.42, 0.0, 28.88, 0.0, 13.82, 0.0, 7.82, 0.0, 23.99, 6.7, 29.97, 48.8, 0.0, 0.0, 0.0, 37.89, 12.96, 0.0, 19.05, 23.7, 11.17, 0.0, 0.0, 0.0, 0.0, 0.0, 
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.21, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 24.65, 0.0, 44.33, 46.99, 0.0, 7.77, 41.56, 0.0, 0.0, 29.65, 0.0, 0.0, 0.0, 25.71, 0.0, 5.85, 0.0, 0.0, 22.79, 0.0, 0.0, 0.0, 13.4, 0.0, 20.72, 0.0, 24.3, 19.12, 43.24, 45.45, 0.0, 0.0, 11.12, 0.0, 27.91, 
0.0, 16.7, 0.0, 0.0, 5.28, 0.0, 45.64, 0.0, 40.14, 43.03, 0.0, 0.0, 5.37, 0.0, 0.0, 0.0, 20.25, 0.0, 0.0, 0.0, 0.0, 45.75, 0.0, 0.0, 0.0, 45.51, 0.0, 0.0, 0.0, 46.57, 0.0, 0.0, 0.0, 8.84, 0.0, 20.26, 0.0, 0.0, 33.09, 0.0, 43.85, 0.0, 26.04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 22.59, 
6.1, 0.0, 0.0, 8.32, 0.0, 0.0, 26.84, 40.28, 0.0, 11.24, 0.0, 14.18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14.22, 0.0, 39.89, 39.65, 10.77, 29.85, 0.0, 0.0, 15.03, 0.0, 45.15, 20.37, 0.0, 0.0, 0.0, 35.66, 9.77, 6.8, 0.0, 10.33, 0.0, 47.83, 35.09, 0.0, 8.72, 35.33, 0.0, 0.0, 20.27, 0.0, 0.0, 
0.0, 27.61, 38.08, 0.0, 0.0, 0.0, 0.0, 0.0, 33.2, 27.48, 0.0, 31.54, 42.33, 30.47, 0.0, 0.0, 0.0, 0.0, 13.4, 0.0, 0.0, 0.0, 0.0, 0.0, 16.78, 0.0, 32.26, 18.61, 15.11, 0.0, 36.44, 0.0, 0.0, 0.0, 0.0, 0.0, 24.32, 28.22, 5.85, 0.0, 33.2, 0.0, 0.0, 18.1, 0.0, 0.0, 39.46, 0.0, 43.18, 0.0, 
0.0, 0.0, 34.88, 24.05, 0.0, 0.0, 17.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 37.71, 0.0, 49.8, 0.0, 0.0, 34.93, 0.0, 0.0, 0.0, 32.59, 0.0, 0.0, 34.51, 0.0, 44.44, 0.0, 43.23, 23.7, 0.0, 49.41, 44.13, 41.11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 30.26, 46.69, 24.96, 30.29, 25.2, 0.0, 9.83, 0.0, 
0.0, 0.0, 0.0, 0.0, 48.1, 0.0, 0.0, 0.0, 27.37, 0.0, 0.0, 0.0, 0.0, 14.55, 36.39, 0.0, 11.57, 0.0, 0.0, 0.0, 42.85, 0.0, 16.92, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 15.08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.96, 9.55, 12.04, 0.0, 0.0, 9.58, 0.0, 0.0, 46.42, 0.0, 0.0, 32.22, 0.0, 
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 29.41, 0.0, 0.0, 36.3, 0.0, 0.0, 35.18, 0.0, 0.0, 22.46, 12.42, 0.0, 20.72, 14.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16.26, 7.6, 0.0, 0.0, 38.83, 0.0, 0.0, 30.55, 0.0, 15.36, 42.8, 0.0, 0.0, 0.0, 0.0, 28.39, 0.0, 0.0, 46.12, 0.0, 0.0, 8.36, 6.39, 
0.0, 7.68, 0.0, 23.07, 32.53, 45.19, 25.7, 20.53, 38.54, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 48.22, 0.0, 0.0, 0.0, 37.28, 0.0, 0.0, 35.98, 0.0, 27.35, 39.84, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 46.03, 21.5, 42.26, 0.0, 0.0, 0.0, 9.74, 0.0, 48.9, 9.83, 20.95, 48.51, 30.19, 35.55, 
0.0, 48.18, 41.07, 0.0, 38.94, 0.0, 46.43, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 27.67, 0.0, 0.0, 0.0, 0.0, 0.0, 24.83, 0.0, 0.0, 23.07, 48.68, 0.0, 0.0, 0.0, 0.0, 22.72, 0.0, 6.97, 0.0, 0.0, 49.81, 0.0, 0.0, 0.0, 8.42, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 29.89, 0.0, 0.0, 18.82, 0.0, 
0.0, 0.0, 0.0, 15.55, 26.38, 5.6, 18.84, 0.0, 0.0, 0.0, 0.0, 30.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.01, 0.0, 0.0, 28.62, 0.0, 0.0, 0.0, 24.52, 0.0, 10.27, 0.0, 0.0, 12.19, 0.0, 6.88, 0.0, 0.0, 0.0, 20.8, 0.0, 0.0, 0.0, 0.0, 0.0, 43.91, 24.83, 26.57, 0.0, 0.0, 0.0, 41.37, 41.22, 
19.94, 0.0, 0.0, 0.0, 6.41, 0.0, 23.99, 16.54, 0.0, 31.01, 47.84, 0.0, 19.26, 0.0, 47.96, 0.0, 26.15, 0.0, 25.23, 33.29, 0.0, 33.0, 7.3, 0.0, 31.63, 0.0, 39.99, 21.0, 41.94, 18.21, 0.0, 0.0, 0.0, 20.48, 0.0, 17.12, 0.0, 0.0, 6.83, 45.68, 35.51, 48.95, 37.34, 48.53, 0.0, 0.0, 22.42, 8.37, 0.0, 0.0, 
40.71, 0.0, 23.35, 0.0, 49.57, 8.65, 0.0, 0.0, 40.34, 0.0, 0.0, 0.0, 18.87, 21.64, 0.0, 0.0, 0.0, 49.42, 0.0, 0.0, 0.0, 38.94, 0.0, 0.0, 5.31, 37.75, 0.0, 0.0, 0.0, 0.0, 6.23, 0.0, 29.58, 0.0, 36.79, 0.0, 0.0, 32.21, 42.53, 0.0, 44.46, 0.0, 0.0, 0.0, 0.0, 20.74, 0.0, 46.75, 9.72, 0.0, 
0.0, 24.29, 0.0, 37.51, 49.32, 0.0, 0.0, 22.5, 20.61, 0.0, 0.0, 33.6, 0.0, 0.0, 0.0, 18.82, 0.0, 0.0, 0.0, 0.0, 0.0, 18.92, 0.0, 0.0, 0.0, 0.0, 40.85, 0.0, 0.0, 19.38, 31.73, 0.0, 41.79, 0.0, 36.34, 35.91, 0.0, 0.0, 0.0, 35.11, 47.08, 0.0, 49.15, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
